nofish,livebait,camper,persons,child,count
yes,no,no,1,0,0
no,yes,yes,1,0,0
no,yes,no,1,0,0
no,yes,yes,2,1,0
no,yes,no,1,0,1
no,yes,yes,4,2,0
no,yes,no,3,1,0
no,yes,no,4,3,0
yes,no,yes,3,2,0
no,yes,yes,1,0,1
no,yes,no,4,1,0
no,yes,yes,3,2,0
yes,no,no,3,0,1
no,yes,no,3,0,2
no,yes,yes,1,0,0
yes,yes,yes,1,0,1
no,yes,no,4,1,0
yes,yes,yes,3,2,0
no,yes,yes,2,1,1
no,yes,no,3,1,0
no,yes,no,4,1,1
no,yes,yes,4,0,5
no,yes,yes,2,1,0
no,yes,yes,2,0,3
no,yes,yes,3,0,30
no,yes,yes,2,0,0
no,yes,yes,4,0,13
no,yes,no,2,1,0
no,yes,no,1,0,0
no,yes,no,4,3,0
no,yes,no,1,0,0
no,yes,yes,3,1,0
no,yes,yes,4,0,11
no,yes,yes,4,1,5
no,yes,yes,1,0,0
yes,no,no,2,0,1
yes,yes,yes,2,1,1
yes,yes,yes,4,1,7
yes,yes,yes,3,1,0
no,yes,yes,4,1,14
no,yes,yes,1,0,0
no,yes,yes,4,0,32
yes,no,no,3,2,0
yes,no,yes,4,0,1
yes,yes,no,4,2,0
no,yes,yes,1,0,0
no,yes,yes,2,1,0
no,yes,no,1,0,1
no,yes,yes,2,1,5
no,yes,no,2,1,0
no,yes,yes,2,1,1
no,yes,yes,2,1,0
no,yes,yes,4,0,22
yes,no,no,2,0,0
no,yes,yes,3,0,15
yes,no,yes,1,0,0
no,yes,yes,1,0,0
no,yes,yes,1,0,0
yes,yes,yes,4,1,5
yes,yes,yes,1,0,4
no,yes,no,2,0,2
no,yes,yes,2,1,0
no,yes,no,2,1,2
no,yes,yes,4,0,32
no,yes,no,4,3,0
no,yes,yes,1,0,0
no,yes,no,1,0,1
yes,yes,no,3,2,0
yes,yes,yes,1,0,0
no,yes,yes,2,1,0
no,yes,yes,3,0,7
no,yes,no,4,3,0
yes,no,no,4,2,0
no,yes,yes,3,2,0
yes,no,yes,1,0,0
no,yes,no,2,0,0
no,yes,no,3,2,0
yes,yes,yes,1,0,0
no,yes,no,2,1,0
no,yes,no,4,0,2
no,yes,yes,4,1,3
yes,yes,no,2,1,1
no,yes,yes,3,0,5
no,yes,no,1,0,0
no,yes,yes,1,0,2
yes,no,no,3,1,1
yes,no,no,4,1,0
yes,yes,yes,1,0,1
no,yes,yes,4,0,149
no,yes,yes,3,2,0
no,yes,yes,3,1,1
no,yes,no,2,0,0
no,yes,yes,3,0,0
no,yes,no,2,1,1
no,yes,no,4,2,0
no,yes,yes,3,1,0
no,yes,no,4,2,0
yes,no,no,4,0,2
no,yes,yes,2,0,2
no,yes,no,4,0,29
no,yes,yes,1,0,3
yes,no,yes,2,0,0
no,yes,no,4,2,0
yes,no,no,3,0,5
no,yes,yes,2,0,0
no,yes,no,4,1,0
no,yes,yes,1,0,0
no,yes,no,3,1,0
no,yes,yes,4,1,0
no,yes,yes,4,1,1
no,yes,yes,1,0,7
no,yes,yes,2,0,1
no,yes,no,1,0,0
yes,no,no,4,1,2
no,yes,no,3,2,0
yes,yes,no,2,0,2
no,yes,no,2,1,0
no,yes,no,4,1,0
yes,no,yes,3,1,0
yes,yes,yes,3,2,1
no,yes,no,2,1,0
yes,yes,no,1,0,0
yes,no,yes,4,3,0
no,yes,no,1,0,0
yes,no,yes,4,3,0
no,yes,no,4,1,3
no,yes,yes,1,0,4
no,yes,yes,3,0,3
no,yes,no,2,0,3
no,yes,yes,4,0,8
yes,no,yes,3,0,2
yes,yes,yes,1,0,1
no,yes,no,4,0,6
yes,yes,yes,4,2,0
no,yes,yes,2,1,0
yes,yes,no,4,0,5
no,yes,yes,4,1,3
no,yes,no,3,1,31
no,yes,yes,2,1,0
no,yes,no,2,0,2
yes,yes,yes,4,3,0
no,yes,yes,2,1,0
yes,no,no,3,0,0
no,yes,yes,3,1,0
yes,yes,no,1,0,0
no,yes,no,2,0,0
yes,yes,yes,4,0,6
no,yes,no,3,0,9
yes,no,yes,3,2,0
yes,no,yes,2,1,0
no,yes,yes,1,0,0
no,yes,yes,2,1,0
no,yes,no,1,0,0
no,yes,no,2,0,2
no,yes,no,3,0,15
no,yes,yes,1,0,1
yes,yes,yes,2,0,2
no,yes,yes,3,1,3
yes,yes,yes,1,0,0
no,yes,yes,4,0,65
no,yes,yes,3,0,5
no,yes,no,1,0,0
yes,yes,yes,3,2,0
no,yes,no,4,1,0
no,yes,no,4,2,0
yes,yes,no,1,0,1
no,yes,yes,4,1,8
no,yes,yes,3,0,0
no,yes,yes,3,2,0
no,yes,yes,4,3,0
no,yes,yes,3,0,2
no,yes,yes,2,1,4
yes,yes,no,4,0,5
no,yes,no,2,0,9
no,yes,no,4,2,0
no,yes,no,2,0,0
no,yes,yes,2,0,0
no,yes,no,1,0,0
yes,yes,yes,2,0,21
no,yes,no,1,0,0
no,yes,yes,3,0,6
no,yes,no,2,1,0
yes,no,yes,2,0,0
no,yes,yes,2,1,0
yes,yes,no,3,1,0
no,yes,yes,4,1,16
yes,no,no,3,2,0
no,yes,yes,3,2,0
yes,yes,yes,4,0,4
no,yes,yes,2,1,2
no,yes,yes,3,0,10
yes,no,yes,1,0,0
no,yes,yes,1,0,0
yes,no,no,1,0,0
yes,no,yes,2,0,2
yes,yes,yes,2,0,1
no,yes,no,1,0,3
no,yes,yes,3,1,0
no,yes,yes,4,2,0
no,yes,yes,2,0,21
no,yes,no,2,1,0
no,yes,no,2,0,0
yes,no,yes,1,0,2
yes,no,yes,2,1,0
no,yes,yes,4,1,3
no,yes,yes,3,1,0
no,yes,yes,4,0,38
yes,yes,yes,4,3,0
no,yes,yes,1,0,0
no,yes,no,1,0,0
no,yes,yes,1,0,1
no,yes,no,1,0,3
no,yes,yes,1,0,0
no,yes,no,2,0,1
yes,yes,no,4,2,0
yes,no,no,2,1,0
no,yes,no,4,2,0
no,yes,no,3,1,0
no,yes,yes,4,2,5
no,yes,no,4,2,0
yes,no,no,4,1,0
no,yes,no,3,0,2
yes,yes,yes,2,1,0
no,yes,yes,1,0,0
no,yes,no,2,1,0
no,yes,yes,2,0,1
yes,yes,yes,3,1,4
yes,yes,no,1,0,0
no,yes,yes,3,2,0
no,yes,yes,2,1,2
no,yes,yes,1,0,3
yes,yes,no,4,2,0
no,yes,no,3,1,0
no,yes,no,2,0,0
yes,no,no,2,0,0
no,yes,yes,1,0,1
no,yes,yes,2,0,2
no,yes,yes,1,0,0
no,yes,yes,3,0,6
no,yes,yes,2,0,4
no,yes,yes,2,0,1
no,yes,yes,4,2,1
yes,no,no,2,0,0
no,yes,yes,3,1,1
no,yes,no,3,0,0
yes,yes,yes,2,0,0
no,yes,yes,4,3,0
no,yes,yes,2,1,0
yes,yes,yes,3,2,0
yes,yes,yes,2,1,0
