title,review_year,age,children_in_home,education,gender,reviewer_type,work_status,genre,release_year,length_minutes,season,total_reviews,rating,review_text,word_count,review_year_0,release_year_0,age_sc,length_minutes_sc,total_reviews_sc,word_count_sc,rating_good
Love in the Air,2018,59,0,Post-Graduate,male,Viewer,Employed,Romance,2018,130,Summer,6969,3.2,"I didn't hate it, but I didn't love it either.",12,18,35,0.6609014373864428,0.7806222401585731,0.7213995701841285,0.3325041835044015,1
Reflections of Reality,2006,58,0,Post-Graduate,male,Critic,Employed,Other,2019,132,Summer,2599,2.4,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,6,36,0.6061683990935697,0.9541324068975312,-0.8184751018545973,2.8962968202524557,0
Beyond the Stars,2016,44,1,Post-Graduate,female,Critic,Employed,Sci-Fi,1997,133,Summer,3305,2.4,"I expected so much more from this film, but it fell flat. Boring and uninspired, it left me with a sense of wasted potential.",24,16,14,-0.1600941370066536,1.0408874902670102,-0.5696990106739701,2.699082002041067,0
The Enigmatic Drama,2017,33,0,Post-Graduate,male,Viewer,Employed,Drama,2018,118,Summer,5690,3.7,I was blown away by the sheer brilliance of this film.,11,17,35,-0.7621575582282577,-0.2604387602751757,0.2707131387110095,0.1352893652930127,1
Enchanted Darkness,2019,45,1,Completed High School,female,Critic,Employed,Horror,2009,139,Summer,7361,2.7,"A truly awful movie. The special effects were laughable, and the dialogue was cringe-worthy. Avoid at all costs.",19,19,26,-0.1053610987137805,1.5614179904838847,0.8595302043807374,1.713007910984123,0
Shattered Reflections,2020,51,1,Post-Graduate,male,Viewer,Employed,Drama,2017,125,Spring,2500,3.5,Engaging and heartfelt.,3,20,34,0.223037131043458,0.3468468233111777,-0.8533601344705775,-1.4424291803980978,1
Legends Unleashed,2010,69,0,Completed College,male,Viewer,Employed,Action/Adventure,2009,127,Summer,4095,3.0,A passable movie that didn't leave a strong impression.,10,10,26,1.2082318203151736,0.5203569900501359,-0.291323497879784,-0.061925452918376,1
Love in the Air,2011,31,1,Completed High School,female,Viewer,Employed,Romance,2018,130,Summer,6969,3.9,A heartfelt triumph that resonates deeply.,6,11,35,-0.8716236348140038,0.7806222401585731,0.7213995701841285,-0.8507847257639313,1
The Adventurous Quest,2014,58,0,Post-Graduate,female,Viewer,Employed,Action/Adventure,2011,108,Summer,9822,3.2,A neutral watch that didn't evoke strong emotions.,9,14,28,0.6061683990935697,-1.1279895939699665,1.7267227828446512,-0.2591402711297649,1
Forgotten Realms,2017,19,0,Completed College,female,Viewer,Employed,Drama,2013,129,Summer,3337,3.6,Emotional rollercoaster ride.,3,17,30,-1.528420094328481,0.693867156789094,-0.5584230405354714,-1.4424291803980978,1
Midnight Shadows,2020,62,0,Completed College,female,Viewer,Employed,Horror,1995,140,Summer,4464,3.0,"It didn't live up to the hype, but it wasn't a total disappointment.",15,20,12,0.8251005522650621,1.6481730738533638,-0.1612974672202211,0.9241486381385678,1
Enchanted Darkness,2012,26,1,Post-Graduate,male,Critic,Employed,Horror,2009,139,Summer,7361,3.2,A so-so narrative that left me feeling indifferent.,9,12,26,-1.1452888262783694,1.5614179904838847,0.8595302043807374,-0.2591402711297649,1
Chronicles of Destiny,2014,65,0,Completed College,female,Viewer,Employed,Action/Adventure,2000,125,Fall,4695,2.6,"I couldn't stand this film. The characters were unlikable, the story was dull, and it left me feeling disappointed.",20,14,17,0.9892996671436812,0.3468468233111777,-0.0798990577829338,1.910222729195512,0
Cosmic Adventures,2022,52,1,Completed College,male,Viewer,Employed,Sci-Fi,2012,119,Fall,8655,3.5,A symphony of emotions that left me deeply touched.,9,22,29,0.2777701693363311,-0.1736836769056967,1.3155022468562776,-0.2591402711297649,1
Midnight Shadows,2021,64,0,Post-Graduate,female,Viewer,Employed,Horror,1995,140,Summer,4464,3.5,A heartwarming tale that warmed my soul.,7,21,12,0.9345666288508082,1.6481730738533638,-0.1612974672202211,-0.6535699075525425,1
Galactic Odyssey,2021,49,1,Post-Graduate,female,Viewer,Employed,Sci-Fi,2010,113,Winter,3673,3.0,A movie that didn't quite make a lasting impression.,10,21,27,0.1135710544577118,-0.6942141771225712,-0.4400253540812353,-0.061925452918376,1
Secret of the Ancients,2022,69,0,Post-Graduate,male,Critic,Employed,Action/Adventure,2020,115,Summer,9029,2.7,A lackluster attempt that fell short in every way.,9,22,37,1.2082318203151736,-0.520704010383613,1.447290147849981,-0.2591402711297649,0
Realm of Legends,2017,33,1,Completed College,female,Viewer,Employed,Action/Adventure,1996,116,Summer,7968,2.7,An uninspired and regrettable mess that I won't soon forget.,11,17,13,-0.7621575582282577,-0.4339489270141339,1.073421262945384,0.1352893652930127,0
Eternal Love,2017,34,1,Post-Graduate,female,Viewer,Employed,Romance,2014,108,Fall,997,2.5,A disaster from start to finish. Don't waste your energy.,11,17,31,-0.7074245199353846,-1.1279895939699665,-1.3829783569131873,0.1352893652930127,0
Reflections of Reality,2017,32,0,Completed High School,male,Viewer,Employed,Other,2019,132,Summer,2599,3.0,An okay narrative that lacked a distinct identity.,8,17,36,-0.8168905965211307,0.9541324068975312,-0.8184751018545973,-0.4563550893411536,1
Adventures of the Little Ones,2021,63,0,Completed College,female,Viewer,Employed,Kids,1997,124,Summer,8607,3.2,"A decent movie, but it didn't quite meet my expectations. Some parts were enjoyable.",15,21,14,0.8798335905579351,0.2600917399416986,1.2985882916485296,0.9241486381385678,1
Guardians of Destiny,2008,42,1,Completed High School,female,Viewer,Employed,Action/Adventure,2004,119,Winter,374,1.8,A misfire that lacked direction and substance. Avoid.,8,8,21,-0.2695602135923998,-0.1736836769056967,-1.6025074005470834,-0.4563550893411536,0
Mystic Whispers,2020,57,0,Post-Graduate,male,Viewer,Employed,Drama,2010,122,Summer,857,3.2,Neither remarkable nor forgettable - an average flick.,7,20,27,0.5514353608006966,0.0865815732027405,-1.432310726269119,-0.6535699075525425,1
The Enigmatic Drama,2016,35,2,Completed College,female,Viewer,Employed,Drama,2018,118,Summer,5690,3.9,Highly recommended to all.,4,16,35,-0.6526914816425115,-0.2604387602751757,0.2707131387110095,-1.245214362186709,1
Frozen in Time,2021,43,0,Completed High School,female,Critic,Employed,Drama,1984,141,Winter,2736,2.7,A total letdown that I wouldn't wish upon anyone.,10,21,1,-0.2148271752995267,1.734928157222843,-0.7701998546991498,-0.061925452918376,0
Crimson Echoes,2008,80,0,Completed College,male,Viewer,Retired,Drama,1995,139,Fall,955,3.2,An adequate effort that didn't quite shine.,8,8,12,1.8102952415367777,1.5614179904838847,-1.3977780677199667,-0.4563550893411536,1
Odyssey of Legends,2014,45,0,Post-Graduate,female,Critic,Employed,Action/Adventure,2011,117,Fall,7179,2.2,A film that left me bewildered and completely unimpressed.,9,14,28,-0.1053610987137805,-0.3471938436446548,0.7953981242180261,-0.2591402711297649,0
Amour Forever,2012,18,0,Completed College,female,Viewer,Employed,Romance,2004,134,Fall,6251,3.6,A work of art that transcends the ordinary.,8,12,21,-1.5831531326213542,1.1276425736364897,0.4683949902015644,-0.4563550893411536,1
Joyful Journeys,2019,41,0,Post-Graduate,male,Viewer,Employed,Kids,2005,111,Spring,9030,3.3,"It's just an average movie, nothing special.",8,19,22,-0.3242932518852729,-0.8677243438615293,1.447642521916809,-0.4563550893411536,1
Clash of Titans,2014,71,0,Completed High School,female,Viewer,Retired,Action/Adventure,2015,118,Summer,3638,3.1,Neither good nor bad. Just average.,6,14,32,1.31769789690092,-0.2604387602751757,-0.4523584464202183,-0.8507847257639313,1
Reflections of Reality,2022,32,1,Post-Graduate,male,Critic,Employed,Other,2019,132,Summer,2599,2.1,A film that lacked direction and substance. Avoid at all costs.,11,22,36,-0.8168905965211307,0.9541324068975312,-0.8184751018545973,0.1352893652930127,0
Tales of Tiny Explorers,2018,60,0,Completed College,female,Viewer,Employed,Kids,2002,118,Fall,4368,2.0,Boring and dull.,3,18,19,0.7156344756793158,-0.2604387602751757,-0.1951253776357171,-1.4424291803980978,0
Journey to the Unknown,2016,54,0,Completed College,female,Viewer,Employed,Action/Adventure,2000,107,Summer,2537,2.3,A disaster from start to finish. Don't waste your time.,11,16,17,0.3872362459220773,-1.2147446773394457,-0.8403222939979385,0.1352893652930127,0
Wonderland Adventures,2017,51,0,Post-Graduate,male,Critic,Employed,Kids,2012,98,Spring,2160,1.7,A movie that failed to live up to its potential. Avoid.,11,17,29,0.223037131043458,-1.9955404276647573,-0.973167317192126,0.1352893652930127,0
In Search of Truth,2019,52,0,Completed High School,female,Critic,Employed,Other,2007,112,Summer,6040,2.2,A movie that failed to deliver on its promises. Avoid at all costs.,13,19,24,0.2777701693363311,-0.7809692604920502,0.3940440621008387,0.5297190017157903,0
Love in the Air,2018,19,0,Post-Graduate,female,Viewer,Student,Romance,2018,130,Summer,6969,4.0,An absolute delight! The humor and heart in this movie make it an instant classic. Loved every minute of it.,20,18,35,-1.528420094328481,0.7806222401585731,0.7213995701841285,1.910222729195512,1
Beneath the Surface,2021,62,0,Post-Graduate,male,Viewer,Student,Drama,2011,105,Fall,9202,4.3,A cinematic marvel that resonates deeply.,6,21,28,0.8251005522650621,-1.3882548440784035,1.508250861411239,-0.8507847257639313,1
Clash of Titans,2013,58,0,Completed High School,male,Viewer,Employed,Action/Adventure,2015,118,Summer,3638,2.4,"I can't believe I wasted my time on this film. The characters were unlikable, and the story was boring.",20,13,32,0.6061683990935697,-0.2604387602751757,-0.4523584464202183,1.910222729195512,0
Enchanted Darkness,2017,24,0,Completed College,female,Viewer,Unemployed,Horror,2009,139,Summer,7361,3.6,An extraordinary journey that left me inspired.,7,17,26,-1.2547549028641154,1.5614179904838847,0.8595302043807374,-0.6535699075525425,1
Reflections of Reality,2020,53,1,Completed College,female,Viewer,Employed,Other,2019,132,Summer,2599,3.2,A movie that failed to make a memorable impression.,9,20,36,0.3325032076292042,0.9541324068975312,-0.8184751018545973,-0.2591402711297649,1
Silly Adventures,2019,51,1,Completed College,female,Viewer,Employed,Comedy,2018,127,Summer,607,3.7,A heartfelt triumph that resonated with my soul.,8,19,35,0.223037131043458,0.5203569900501359,-1.52040424297614,-0.4563550893411536,1
Shadowed Past,2020,69,0,Post-Graduate,female,Viewer,Employed,Drama,2017,103,Summer,4038,3.4,"A decent movie, but it didn't quite meet my expectations.",11,20,34,1.2082318203151736,-1.561765010817362,-0.3114088196889847,0.1352893652930127,1
Echoes of Eternity,2021,74,0,Post-Graduate,male,Viewer,Unemployed,Drama,1998,126,Summer,7245,3.6,A genuine delight that radiates joy and inspiration.,8,21,15,1.4818970117795391,0.4336019066806568,0.8186548126286796,-0.4563550893411536,1
The Uncharted Journey,2018,73,0,Completed College,female,Critic,Retired,Action/Adventure,2007,112,Fall,3948,1.9,"I can't believe I wasted money on this. The characters were one-dimensional, and the story was dull.",19,18,24,1.427163973486666,-0.7809692604920502,-0.3431224857035123,1.713007910984123,0
Chronicles of Courage,2021,51,1,Completed College,female,Viewer,Employed,Action/Adventure,1995,132,Summer,1983,2.8,A narrative that fell somewhere in the middle ground.,9,21,12,0.223037131043458,0.9541324068975312,-1.0355375270206968,-0.2591402711297649,0
Unbreakable Bonds,2004,24,0,Completed High School,female,Viewer,Employed,Romance,2015,121,Spring,6916,2.0,I couldn't find a single redeeming quality in this mess.,11,4,32,-1.2547549028641154,-0.00017351016673855375,0.7027237446422401,0.1352893652930127,0
Eternal Love,2019,44,0,Post-Graduate,female,Viewer,Employed,Romance,2014,108,Fall,997,2.2,"I had high hopes for this movie, but it let me down in every way. The acting was wooden, and the plot was a mess.",25,19,31,-0.1600941370066536,-1.1279895939699665,-1.3829783569131873,2.8962968202524557,0
Wonderland Adventures,2020,41,0,Completed High School,female,Viewer,Employed,Kids,2012,98,Spring,2160,2.1,A disaster from start to finish. Don't subject yourself to it.,12,20,29,-0.3242932518852729,-1.9955404276647573,-0.973167317192126,0.3325041835044015,0
Fading Memories,2022,80,0,Completed College,male,Viewer,Retired,Drama,2001,133,Winter,1885,3.3,"It had its moments, but overall, it was just okay. I neither loved it nor hated it.",17,22,18,1.8102952415367777,1.0408874902670102,-1.070070185569849,1.3185782745613457,1
Raiders of the Unknown,2017,75,0,Completed High School,female,Viewer,Retired,Action/Adventure,2018,121,Summer,6957,2.8,A film that didn't fully resonate with me.,9,17,35,1.5366300500724122,-0.00017351016673855375,0.7171710813821915,-0.2591402711297649,0
Clash of Titans,2022,25,0,Completed College,male,Viewer,Student,Action/Adventure,2015,118,Summer,3638,3.1,A movie that didn't fully capture my attention.,9,22,32,-1.2000218645712424,-0.2604387602751757,-0.4523584464202183,-0.2591402711297649,1
Chronicles of Courage,2007,22,0,Completed College,female,Viewer,Student,Action/Adventure,1995,132,Summer,1983,2.8,An average outing that didn't evoke strong reactions.,9,7,12,-1.3642209794498616,0.9541324068975312,-1.0355375270206968,-0.2591402711297649,0
Guardians of the Ancients,2018,37,1,Post-Graduate,female,Viewer,Employed,Action/Adventure,2014,116,Summer,3224,3.1,A passable cinematic endeavor that didn't stand out.,9,18,31,-0.5432254050567653,-0.4339489270141339,-0.598241310087045,-0.2591402711297649,1
Lost in Time,2021,55,0,Completed College,male,Critic,Employed,Drama,2019,119,Summer,8311,2.7,"The worst film I've seen in years. It was painful to sit through, and I left the theater feeling angry and cheated.",23,21,36,0.4419692842149504,-0.1736836769056967,1.194285567867417,2.5018671838296784,0
Guardians of the Ancients,2022,47,1,Completed College,male,Viewer,Employed,Action/Adventure,2014,116,Summer,3224,3.3,"I expected more, but it was just okay.",8,22,31,0.0041049778719656,-0.4339489270141339,-0.598241310087045,-0.4563550893411536,1
The Hilarious Movie,2014,58,0,Post-Graduate,female,Viewer,Employed,Comedy,2014,126,Winter,1399,3.0,An average journey that didn't fully engage me.,9,14,31,0.6061683990935697,0.4336019066806568,-1.2413239820482975,-0.2591402711297649,1
Joyful Journeys,2013,38,1,Completed High School,female,Critic,Employed,Kids,2005,111,Spring,9030,2.8,A film that fell short of my expectations.,8,13,22,-0.4884923667638922,-0.8677243438615293,1.447642521916809,-0.4563550893411536,0
Guardians of Destiny,2021,44,1,Completed College,male,Viewer,Employed,Action/Adventure,2004,119,Winter,374,2.8,A film that was neither remarkable nor forgettable.,8,21,21,-0.1600941370066536,-0.1736836769056967,-1.6025074005470834,-0.4563550893411536,0
Empire of Shadows,2021,33,1,Completed High School,female,Viewer,Employed,Action/Adventure,2017,108,Summer,9606,3.4,A lukewarm experience that neither wowed nor disappointed.,8,21,34,-0.7621575582282577,-1.1279895939699665,1.6506099844097852,-0.4563550893411536,1
Journey to the Unknown,2008,71,0,Completed College,female,Viewer,Retired,Action/Adventure,2000,107,Summer,2537,2.6,A lackluster attempt that fell short in every way.,9,8,17,1.31769789690092,-1.2147446773394457,-0.8403222939979385,-0.2591402711297649,0
Requiem for a Dream,2016,64,0,Completed High School,male,Viewer,Employed,Drama,2008,128,Winter,3517,4.0,Highly recommended to all.,4,16,25,0.9345666288508082,0.6071120734196149,-0.4949957085064164,-1.245214362186709,1
Magic of Childhood,2018,46,0,Post-Graduate,female,Viewer,Employed,Kids,2014,126,Winter,1036,2.0,A misfire that lacked direction and substance. Avoid.,8,18,31,-0.0506280604209074,0.4336019066806568,-1.369235768306892,-0.4563550893411536,0
Beyond the Horizon,2022,23,0,Post-Graduate,female,Viewer,Employed,Action/Adventure,2010,107,Spring,6820,2.9,A film that didn't fully connect with me.,9,22,27,-1.3094879411569886,-1.2147446773394457,0.668895834226744,-0.2591402711297649,0
Enchanted Playtime,2011,46,0,Completed High School,female,Critic,Employed,Kids,2004,131,Spring,1041,2.2,"Complete letdown, don't bother.",5,11,21,-0.0506280604209074,0.8673773235280522,-1.3674738979727517,-1.04799954397532,0
Chronicles of Destiny,2009,18,0,Completed High School,male,Viewer,Student,Action/Adventure,2000,125,Fall,4695,3.2,A film that didn't leave a lasting impression.,9,9,17,-1.5831531326213542,0.3468468233111777,-0.0798990577829338,-0.2591402711297649,1
In Search of Truth,2020,55,1,Post-Graduate,female,Critic,Employed,Other,2007,112,Summer,6040,2.5,A cinematic disaster that I wish I hadn't endured.,10,20,24,0.4419692842149504,-0.7809692604920502,0.3940440621008387,-0.061925452918376,0
Enchanted Darkness,2009,35,1,Post-Graduate,male,Viewer,Unemployed,Horror,2009,139,Summer,7361,4.2,Truly heartwarming story.,3,9,26,-0.6526914816425115,1.5614179904838847,0.8595302043807374,-1.4424291803980978,1
Enchanted Hearts,2013,28,1,Post-Graduate,male,Viewer,Employed,Romance,2019,137,Summer,9467,4.3,A journey worth taking.,4,13,36,-1.0358227496926231,1.3879078237449267,1.6016299891206816,-1.245214362186709,1
Visions of Valor,2009,30,0,Post-Graduate,male,Viewer,Employed,Action/Adventure,1987,120,Fall,2574,2.0,A movie that failed to capture my attention or interest.,10,9,4,-0.926356673106877,-0.0869285935362176,-0.8272844535252993,-0.061925452918376,0
Lost Horizon,2015,31,1,Completed High School,male,Critic,Employed,Drama,2018,111,Spring,2643,2.8,"It's a film that falls in between. Not remarkable, not terrible.",12,15,35,-0.8716236348140038,-0.8677243438615293,-0.8029706429141615,0.3325041835044015,0
The Hilarious Movie,2011,18,1,Post-Graduate,female,Viewer,Employed,Comedy,2014,126,Winter,1399,3.2,An average outing that didn't leave a lasting impact.,10,11,31,-1.5831531326213542,0.4336019066806568,-1.2413239820482975,-0.061925452918376,1
Unbreakable Bonds,2022,57,1,Post-Graduate,male,Critic,Employed,Romance,2015,121,Spring,6916,2.8,"I was hoping for better, but it was decent enough.",10,22,32,0.5514353608006966,-0.00017351016673855375,0.7027237446422401,-0.061925452918376,0
In Search of Truth,2004,49,0,Post-Graduate,male,Viewer,Retired,Other,2007,112,Summer,6040,2.6,A lackluster attempt that fell short in every way.,9,4,24,0.1135710544577118,-0.7809692604920502,0.3940440621008387,-0.2591402711297649,0
Shattered Reflections,2011,20,0,Post-Graduate,female,Viewer,Employed,Drama,2017,125,Spring,2500,3.2,An in-between experience that left me with mixed thoughts.,10,11,34,-1.473687056035608,0.3468468233111777,-0.8533601344705775,-0.061925452918376,1
Shadowed Past,2015,67,0,Completed High School,female,Critic,Employed,Drama,2017,103,Summer,4038,2.8,A neutral journey that left me with mixed feelings.,9,15,34,1.0987657437294276,-1.561765010817362,-0.3114088196889847,-0.2591402711297649,0
Shadowed Past,2012,67,0,Completed College,female,Viewer,Employed,Drama,2017,103,Summer,4038,3.4,An average outing that didn't fully connect.,8,12,34,1.0987657437294276,-1.561765010817362,-0.3114088196889847,-0.4563550893411536,1
Echoes of Eternity,2022,43,0,Post-Graduate,male,Viewer,Employed,Drama,1998,126,Summer,7245,4.0,Pure movie magic!,3,22,15,-0.2148271752995267,0.4336019066806568,0.8186548126286796,-1.4424291803980978,1
Odyssey of Hope,2018,29,1,Completed High School,female,Critic,Employed,Action/Adventure,2019,111,Summer,9797,3.0,An average experience that didn't leave a strong mark.,10,18,36,-0.98108971139975,-0.8677243438615293,1.7179134311739492,-0.061925452918376,1
Soulbound,2013,50,1,Post-Graduate,male,Critic,Employed,Drama,2010,131,Fall,1618,2.5,Hated it.,2,13,27,0.1683040927505849,0.8673773235280522,-1.1641540614129473,-1.6396439986094864,0
Eternal Love,2018,50,0,Post-Graduate,female,Viewer,Employed,Romance,2014,108,Fall,997,2.2,"I've never been so disappointed by a film. The acting was subpar, and the story was a snooze fest.",20,18,31,0.1683040927505849,-1.1279895939699665,-1.3829783569131873,1.910222729195512,0
Galactic Odyssey,2017,59,0,Post-Graduate,male,Viewer,Employed,Sci-Fi,2010,113,Winter,3673,2.4,An uninspired mess that left me wondering why I bothered.,10,17,27,0.6609014373864428,-0.6942141771225712,-0.4400253540812353,-0.061925452918376,0
Dark Descent,2019,54,2,Post-Graduate,female,Viewer,Employed,Horror,2015,111,Spring,2185,2.4,A film that fell short in every aspect. Disheartening.,9,19,32,0.3872362459220773,-0.8677243438615293,-0.9643579655214238,-0.2591402711297649,0
Beyond the Horizon,2016,35,1,Post-Graduate,female,Critic,Employed,Action/Adventure,2010,107,Spring,6820,2.6,A film that failed to capture my attention or imagination.,10,16,27,-0.6526914816425115,-1.2147446773394457,0.668895834226744,-0.061925452918376,0
Legends Reborn,2014,50,1,Completed High School,female,Viewer,Employed,Action/Adventure,2008,116,Fall,5896,2.9,A film with potential that didn't quite soar.,9,14,25,0.1683040927505849,-0.4339489270141339,0.3433021964775947,-0.2591402711297649,0
Love's Embrace,2018,43,1,Completed High School,male,Viewer,Employed,Romance,1983,112,Winter,9616,3.2,"I can't say I loved it, but I didn't hate it either.",14,18,0,-0.2148271752995267,-0.7809692604920502,1.654133725078066,0.7269338199271791,1
Amour Forever,2014,38,0,Post-Graduate,female,Viewer,Employed,Romance,2004,134,Fall,6251,2.4,"I expected more, but this movie left me thoroughly dissatisfied.",10,14,21,-0.4884923667638922,1.1276425736364897,0.4683949902015644,-0.061925452918376,0
Fun Under the Sun,2015,46,1,Completed High School,female,Critic,Employed,Comedy,2019,123,Summer,7699,3.3,An okay watch that didn't quite stand out.,9,15,36,-0.0506280604209074,0.1733366565722195,0.9786326389686296,-0.2591402711297649,1
Hilarity Unleashed,2021,77,0,Completed High School,female,Viewer,Unemployed,Comedy,2019,121,Fall,7590,3.7,I was hooked from the first scene. The suspense and excitement never let up. A must-see thriller!,18,21,36,1.6460961266581584,-0.00017351016673855375,0.9402238656843684,1.5157930927727343,1
Quest for Glory,2018,18,1,Post-Graduate,male,Viewer,Employed,Action/Adventure,2009,140,Spring,8533,3.5,Loved every minute of it.,5,18,26,-1.5831531326213542,1.6481730738533638,1.2725126107032514,-1.04799954397532,1
Legends of Winter,2019,65,0,Post-Graduate,female,Viewer,Employed,Drama,2006,108,Fall,2617,2.9,A decent attempt that fell short of my expectations.,9,19,23,0.9892996671436812,-1.1279895939699665,-0.8121323686516917,-0.2591402711297649,0
