title,review_year,age,children_in_home,education,gender,reviewer_type,work_status,genre,release_year,length_minutes,season,total_reviews,rating,review_text,word_count,review_year_0,release_year_0,age_sc,length_minutes_sc,total_reviews_sc,word_count_sc,rating_good
Visions of Valor,2019,27,2,Post-Graduate,female,Viewer,Employed,Action/Adventure,1987,120,Fall,2574,3.2,"A middle-of-the-road movie, nothing exceptional.",8,19,4,-1.0905557879854961,-0.08692859353621762,-0.8272844535252993,-0.3360126815081668,1
Hilarity Unleashed,2014,43,1,Completed College,female,Viewer,Employed,Comedy,2019,121,Fall,7590,3.2,"It didn't wow me, but it didn't disappoint either.",11,14,36,-0.21482717529952675,-1.7351016673855377e-4,0.9402238656843684,0.25039688482371264,1
Soulbound,2019,65,0,Post-Graduate,male,Viewer,Employed,Drama,2010,131,Fall,1618,3.6,An emotional rollercoaster that left me in awe. The captivating plot and outstanding acting made this film a true gem. I couldn't stop thinking about it long after the credits rolled.,32,19,27,0.9892996671436813,0.8673773235280522,-1.1641540614129473,4.355263849146868,1
Amour Forever,2011,43,1,Post-Graduate,female,Critic,Employed,Romance,2004,134,Fall,6251,2.1,A movie that failed to live up to its potential. Disappointing.,11,11,21,-0.21482717529952675,1.1276425736364895,0.46839499020156444,0.25039688482371264,0
In Search of Truth,2003,54,1,Completed College,female,Critic,Employed,Other,2007,112,Summer,6040,2,A movie that left me uninterested and thoroughly unmoved.,9,3,24,0.3872362459220773,-0.7809692604920502,0.39404406210083875,-0.14054282606420698,0
Eternal Echoes,2017,80,0,Completed College,female,Viewer,Retired,Drama,1992,136,Summer,7130,4.1,Lives up to its name. It's an enchanting story that explores the depths of human nature. The performances were exceptional.,21,17,9,1.8102952415367777,1.3011527403754475,0.77813179494345,2.2050954392633106,1
Visions of Valor,2022,80,0,Completed College,female,Critic,Retired,Action/Adventure,1987,120,Fall,2574,1.6,"This movie was a complete mess. The editing was choppy, and the plot was all over the place.",18,22,4,1.8102952415367777,-0.08692859353621762,-0.8272844535252993,1.6186858729314313,0
Legends Unleashed,2021,73,0,Completed College,female,Critic,Retired,Action/Adventure,2009,127,Summer,4095,2.2,An agonizing viewing experience that I won't soon forget.,10,21,26,1.4271639734866661,0.5203569900501359,-0.291323497879784,0.05492702937975282,0
Requiem for a Dream,2009,80,0,Post-Graduate,female,Critic,Retired,Drama,2008,128,Winter,3517,2,An uninspired mess that left me wondering why I bothered.,10,9,25,1.8102952415367777,0.6071120734196149,-0.4949957085064164,0.05492702937975282,0
Enchanted Hearts,2013,28,1,Post-Graduate,male,Viewer,Employed,Romance,2019,137,Summer,9467,4.5,A journey worth taking.,4,13,36,-1.0358227496926231,1.3879078237449267,1.6016299891206816,-1.1178921032840061,1
In Search of Truth,2009,40,0,Completed High School,female,Critic,Employed,Other,2007,112,Summer,6040,2.1,"I expected more, but this movie left me thoroughly dissatisfied.",10,9,24,-0.379026290178146,-0.7809692604920502,0.39404406210083875,0.05492702937975282,0
Beyond the Stars,2008,80,0,Post-Graduate,female,Critic,Retired,Sci-Fi,1997,133,Summer,3305,1.8,A lackluster attempt that left me bored and unenthused.,9,8,14,1.8102952415367777,1.0408874902670102,-0.5696990106739701,-0.14054282606420698,0
Empire of Shadows,2017,62,0,Completed College,female,Viewer,Unemployed,Action/Adventure,2017,108,Summer,9606,3.6,A true cinematic gem.,4,17,34,0.8251005522650621,-1.1279895939699665,1.6506099844097852,-1.1178921032840061,1
Whispers of Hope,2022,63,0,Completed College,male,Critic,Employed,Drama,2018,120,Summer,389,2.4,"I had high hopes for this movie, but it let me down in every way. The plot was confusing, and the acting was terrible.",24,22,35,0.8798335905579351,-0.08692859353621762,-1.597221789544662,2.7915050055951904,0
Mystic Shadows,2013,70,0,Post-Graduate,female,Viewer,Retired,Drama,2010,120,Summer,1455,3.4,"It didn't wow me, but it was watchable. A so-so film with some redeeming qualities.",17,13,27,1.2629648586080469,-0.08692859353621762,-1.2215910343059249,1.4232160174874715,1
Eternal Sunshine,2020,59,0,Post-Graduate,male,Viewer,Employed,Drama,2017,142,Summer,4603,4.1,Incredible! I was glued to the screen from start to finish. The acting and direction are top-notch.,18,20,34,0.6609014373864428,1.821683240592322,-0.11231747193111749,1.6186858729314313,1
The Adventurous Quest,2019,79,0,Completed College,female,Critic,Retired,Action/Adventure,2011,108,Summer,9822,2.2,"I couldn't wait for this movie to end. It was painful to watch, and I couldn't care less about the characters.",23,19,28,1.7555622032439047,-1.1279895939699665,1.7267227828446512,2.5960351501512307,0
Beyond the Stars,2018,31,2,Completed College,female,Viewer,Employed,Sci-Fi,1997,133,Summer,3305,3.8,An instant classic that will be cherished for years.,9,18,14,-0.8716236348140038,1.0408874902670102,-0.5696990106739701,-0.14054282606420698,1
Shattered Illusions,2019,37,1,Post-Graduate,male,Critic,Unemployed,Drama,2013,98,Fall,8485,2.1,Predictable and utterly unimpressive.,4,19,30,-0.5432254050567653,-1.9955404276647573,1.2555986554955034,-1.1178921032840061,0
Echoes of Valor,2022,35,0,Completed College,female,Viewer,Employed,Action/Adventure,2020,114,Winter,5527,3.4,"It wasn't remarkable, but it wasn't awful either.",10,22,37,-0.6526914816425115,-0.607459093753092,0.21327616581803183,0.05492702937975282,1
Eerie Echoes,2016,34,1,Completed College,male,Viewer,Employed,Horror,2018,112,Fall,9634,3.8,An unforgettable experience! The deep emotional connections and the exploration of human nature in this movie were thought-provoking. I highly recommend it.,23,16,35,-0.7074245199353846,-0.7809692604920502,1.6604764582809715,2.5960351501512307,1
Innocence Lost,2012,41,0,Post-Graduate,female,Viewer,Employed,Drama,2011,131,Summer,3260,3.9,A cinematic triumph!,3,12,28,-0.3242932518852729,0.8673773235280522,-0.5855558436812339,-1.313361958727966,1
Joyful Journeys,2017,78,0,Completed High School,female,Viewer,Retired,Kids,2005,111,Spring,9030,3.1,A film that didn't leave a lasting mark.,9,17,22,1.7008291649510314,-0.8677243438615293,1.447642521916809,-0.14054282606420698,1
The Last Crusade,2020,27,1,Post-Graduate,female,Viewer,Employed,Action/Adventure,2015,106,Winter,4492,3.2,A film that didn't leave a lasting mark.,9,20,32,-1.0905557879854961,-1.3014997607089247,-0.1514309933490348,-0.14054282606420698,1
Midnight Shadows,2018,54,1,Post-Graduate,female,Viewer,Employed,Horror,1995,140,Summer,4464,3.7,Every frame felt like a work of art. A must-see.,11,18,12,0.3872362459220773,1.6481730738533638,-0.16129746722022112,0.25039688482371264,1
Eternal Sunshine,2009,80,0,Post-Graduate,female,Viewer,Retired,Drama,2017,142,Summer,4603,3.8,A tale of courage and triumph that left me breathless.,10,9,34,1.8102952415367777,1.821683240592322,-0.11231747193111749,0.05492702937975282,1
The Hilarious Movie,2008,18,0,Post-Graduate,female,Critic,Student,Comedy,2014,126,Winter,1399,2.5,A movie that left me uninterested and thoroughly disappointed.,9,8,31,-1.5831531326213542,0.4336019066806568,-1.2413239820482977,-0.14054282606420698,0
Beyond Boundaries,2017,63,0,Post-Graduate,male,Viewer,Employed,Other,2018,114,Fall,8184,3.4,A film that had its moments but didn't fully resonate.,11,17,35,0.8798335905579351,-0.607459093753092,1.1495340613802503,0.25039688482371264,1
Lost Treasures,2012,25,1,Completed College,male,Viewer,Student,Action/Adventure,2009,144,Spring,4040,4.2,A remarkable achievement that touched my soul.,7,12,26,-1.2000218645712424,1.99519340733128,-0.31070407155532864,-0.5314825369521267,1
Requiem for a Dream,2012,74,0,Post-Graduate,female,Viewer,Retired,Drama,2008,128,Winter,3517,3.4,"I expected more, but it fell short.",7,12,25,1.4818970117795391,0.6071120734196149,-0.4949957085064164,-0.5314825369521267,1
Legends of Winter,2010,61,0,Post-Graduate,male,Viewer,Employed,Drama,2006,108,Fall,2617,2.9,"It's an average film, nothing more, nothing less.",9,10,23,0.7703675139721889,-1.1279895939699665,-0.8121323686516917,-0.14054282606420698,0
Raiders of the Unknown,2007,52,0,Completed High School,male,Critic,Employed,Action/Adventure,2018,121,Summer,6957,2.3,"Not worth your money, disappointing.",5,7,35,0.2777701693363311,-1.7351016673855377e-4,0.7171710813821915,-0.9224222478400462,0
Fading Memories,2018,43,0,Post-Graduate,female,Viewer,Employed,Drama,2001,133,Winter,1885,3.6,Powerful and poignant. A truly remarkable achievement.,7,18,18,-0.21482717529952675,1.0408874902670102,-1.070070185569849,-0.5314825369521267,1
Beneath the Surface,2015,18,0,Completed College,female,Viewer,Employed,Drama,2011,105,Fall,9202,3.8,A heartfelt triumph that resonated with my soul.,8,15,28,-1.5831531326213542,-1.3882548440784037,1.5082508614112393,-0.3360126815081668,1
The Hilarious Movie,2020,27,1,Completed College,male,Viewer,Employed,Comedy,2014,126,Winter,1399,2.9,A film that was neither remarkable nor forgettable.,8,20,31,-1.0905557879854961,0.4336019066806568,-1.2413239820482977,-0.3360126815081668,0
Echoes of Eternity,2010,28,1,Completed High School,female,Viewer,Employed,Drama,1998,126,Summer,7245,4.2,Outstanding performances throughout.,3,10,15,-1.0358227496926231,0.4336019066806568,0.8186548126286796,-1.313361958727966,1
Echoes of Valor,2007,70,0,Completed College,female,Viewer,Retired,Action/Adventure,2020,114,Winter,5527,3.1,I neither loved it nor hated it. It didn't live up to the hype.,15,7,37,1.2629648586080469,-0.607459093753092,0.21327616581803183,1.032276306599552,1
