"movie_titles","genre","year_of_release","length_minutes","rating","review_time","review_day","review_month","review_season","review_year","review","character_count","word_count","user_age","gender","education_level","work_status","number_of_children_at_home"
"The Arcane Masquerade","Comedy",2007,109,2.4,08:09:32,23,2,"winter",2009,"Amazing movie that kept me on the edge of my seat!",50,11,25,"Female","College Graduate","Employed",0
"Mystical Moonrise","Thriller",2013,123,2.37,23:01:07,10,11,"fall",2016,"Entertaining film with a few predictable parts.",47,7,35,"Male","High School Graduate","Employed",2
"The Crimson Crown","Comedy",2002,92,4.04,15:51:59,11,1,"winter",2004,"Incredible performances and breathtaking cinematography.",56,5,42,"Female","Postgraduate Degree","Self-Employed",1
"The Sapphire Heist","Sci-Fi",2010,105,1.8,16:42:22,3,8,"summer",2011,"Disappointing movie with a confusing story.",43,6,19,"Male","Some College","Unemployed",0
"Oracle's Quest","Thriller",2002,88,4.24,01:39:36,17,5,"spring",2003,"Unique concept executed well. Thoroughly enjoyed it.",52,7,28,"Female","High School Graduate","Employed",3
"Legends of Lyria","Thriller",2007,113,2.72,03:51:11,30,7,"summer",2008,"Moments of brilliance overshadowed by disappointments.",54,6,37,"Male","Postgraduate Degree","Employed",2
"Timeless Odyssey","Sci-Fi",2001,73,4.56,20:50:07,11,1,"winter",2003,"An absolute gem with well-developed characters.",47,7,31,"Female","Some College","Employed",1
"The Last Wanderer","Drama",2017,83,4.41,11:40:10,24,9,"fall",2017,"Mixed feelings about the film with great and unnecessary scenes.",64,10,23,"Male","College Graduate","Self-Employed",0
"The Moonlit Minstrel","Drama",2001,95,3.58,17:47:08,19,2,"winter",2003,"A movie that blew me away with its gripping storyline.",54,10,39,"Female","High School Graduate","Employed",2
"Chronicles of Chronos","Comedy",2005,112,2.89,10:37:04,2,6,"summer",2006,"Failed to connect with the movie due to pacing and forced ending.",65,12,20,"Male","Some College","Unemployed",1
"Symphony of Shadows","Drama",2007,89,3.66,18:56:21,29,6,"summer",2010,"A unique and thought-provoking storyline that I enjoyed.",56,9,29,"Female","Postgraduate Degree","Employed",1
"Symphony of Stardust","Sci-Fi",2013,110,2.22,18:10:00,26,6,"summer",2014,"A must-watch! Incredible performances and a speechless ending.",62,9,34,"Male","College Graduate","Employed",2
"The Timekeeper's Tale","Drama",2004,112,2.7,00:23:57,20,5,"spring",2007,"High expectations fell short. Weak and unconvincing plot.",57,8,26,"Female","High School Graduate","Self-Employed",0
